nom_recherche,trouve,personne_id,nom_tmdb,alias,date_naissance,date_deces,lieu_naissance,genre,departement_connu,biographie,popularite,url_photo,imdb_id,nb_films_realises,filmographie,film_miniature
Henri-Georges Clouzot,TRUE,2559,Henri-Georges Clouzot," H.G. Clouzot, Henri Georges Clouzot",1907-11-20,1977-01-12,"Niort, Deux-Sèvres, France",Homme,Writing,"Henri-Georges Clouzot (August 18, 1907 – January 12, 1977) was a French film director, screenwriter and producer. He is best remembered for his work in the thriller film genre, having directed The Wages of Fear and Les Diaboliques, which are critically recognized to be among the greatest films from the 1950s. Clouzot also directed documentary films, including The Mystery of Picasso, which was declared a national treasure by the government of France.

Clouzot was an early fan of the cinema and, desiring a career as a writer, moved to Paris. He was later hired by producer Adolphe Osso to work in Berlin, writing French-language versions of German films. After being fired from German studios due to his friendship with Jewish producers, Clouzot returned to France, where he spent years bedridden after contracting tuberculosis. Upon recovering, Clouzot found work in Nazi occupied France as a screenwriter for the German-owned company Continental Films. At Continental, Clouzot wrote and directed films that were very popular in France. His second film Le Corbeau drew controversy over its harsh look at provincial France and Clouzot was fired from Continental before its release. As a result of his association with Continental, Clouzot was barred by the French government from filmmaking until 1947.

After the ban was lifted, Clouzot reestablished his reputation and popularity in France during the late 1940s with successful films including Quai des Orfèvres. After the release of his comedy film Miquette et sa mère, Clouzot married Véra Gibson-Amado, who would star in his next three feature films. In the early and mid-1950s, Clouzot drew acclaim from international critics and audiences for The Wages of Fear and Diabolique. Both films would serve as source material for remakes decades later. After the release of La Vérité, Clouzot's wife Véra died of a heart attack and Clouzot's career suffered due to depression, illness and new critical views of films from the French New Wave. Clouzot's career became less active in later years, limited to a few television documentaries and two feature films in the 1960s. Clouzot wrote several unused scripts in the 1970s and died in Paris in 1977.

Description above from the Wikipedia article Henri-Georges Clouzot, licensed under CC-BY-SA, full list of contributors on Wikipedia",0.8722,https://image.tmdb.org/t/p/w500/lKljbdReVkqhwTsjBcuqt1Uwiiq.jpg,nm0167241,22,,./img_persons_tmdb/img_png/img_2559.png
Jacques Demy,TRUE,24882,Jacques Demy,"자끄 드미, 자크 데미",1931-06-05,1990-10-27,"Pontchâteau, Loire-Atlantique, France",Homme,Directing,"Jacques Demy (June 5, 1931 – October 27, 1990) was a French director and screenwriter. He appeared in the wake of the French New Wave. His films are well known for their sumptuous look, drawing on Hollywood musicals, fairy tales, jazz, and opera.",1.23,https://image.tmdb.org/t/p/w500/5EzvVqngdfzhZCMb8m2EvAsrTj2.jpg,nm0218840,26,,./img_persons_tmdb/img_png/img_24882.png
Pete Docter,TRUE,12890,Pete Docter,"Peter Docter, Peter Hans Docter, 彼特·道格特, پیت داکتر",1968-10-09,NA,"Bloomington, Minnesota, USA",Homme,Directing,"Peter Hans Docter (born October 9, 1968) is an American filmmaker and animator who has served as Pixar's chief creative officer (CCO)  since 2018. He has directed the company's animated films Monsters, Inc. (2001), Up (2009), Inside Out (2015), and Soul (2020). From his nine Academy Award nominations, he is a record-three-time recipient of Best Animated Feature for Up, Inside Out and Soul. Docter has also won six Annie Awards from nine nominations, a BAFTA Children's Film Award and a Hochi Film Award. He describes himself as a ""geeky kid from Minnesota who likes to draw cartoons"".

Description above from the Wikipedia article Pete Docter, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1.8928,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg,nm0230032,9,,./img_persons_tmdb/img_png/img_12890.png
Rob Reiner,TRUE,3026,Rob Reiner,"움말 로브 라이너, Robert Norman Reiner",1947-03-06,2025-12-14,"The Bronx, New York City, New York, USA",Homme,Directing,"Robert Reiner (/ˈraɪnər/; March 6, 1947 – December 14, 2025) was an American filmmaker and actor. He directed a series of acclaimed studio films in a career that spanned comedy, drama, romance, and documentary. Reiner received numerous accolades, including winning two Primetime Emmy Awards and a Hugo Award, as well as nominations for an Academy Award, a BAFTA Award, and nine Golden Globe Awards. He was honored with a star on the Hollywood Walk of Fame in 1999 and received the Chaplin Gala Tribute at the Film at Lincoln Center in 2014. Three of his films have been inducted into the National Film Registry.

Reiner was born in New York City to Estelle and Carl Reiner, who were themselves actors. Reiner began his career as an actor before transitioning to filmmaking. He rose to prominence with his portrayal of Michael ""Meathead"" Stivic on the CBS television sitcom All in the Family (1971–1979), a role that earned him two Primetime Emmy Awards for Outstanding Supporting Actor in a Comedy Series.

He directed a string of critically acclaimed films starting with the heavy metal mockumentary This Is Spinal Tap (1984), followed by the romantic road comedy The Sure Thing (1985), the coming-of age drama Stand by Me (1986), the adventure romance The Princess Bride (1987), the romantic comedy When Harry Met Sally... (1989), the psychological thriller Misery (1990), the legal drama A Few Good Men (1992), which was nominated for the Academy Award for Best Picture, and the political romance The American President (1995). He acted in films such as Sleepless in Seattle (1993), Bullets Over Broadway (1994), The First Wives Club (1996), Primary Colors (1998), EDtv (1999), and The Wolf of Wall Street (2013). He also co-founded the production company Castle Rock Entertainment in 1987.

Reiner was also a liberal political activist who advocated for causes such as LGBTQ rights, early childhood education, and environmental protection, and who campaigned for a variety of Democratic candidates. Reiner chaired the 1998 campaign to pass California's First 5 childhood education initiative, and in 2008 he and his wife, Michele, co-founded the American Foundation for Equal Rights, which initiated the court challenge against California's same-sex marriage ban.

On December 14, 2025, Reiner and his wife were found stabbed to death in their Los Angeles home. Their son, Nick Reiner, has been charged with two counts of first-degree murder.

Description above from the Wikipedia article Rob Reiner, licensed under CC-BY-SA, full list of contributors on Wikipedia.",3.4248,https://image.tmdb.org/t/p/w500/rcmPU3YlhHQVzZlV197qhmRsgEL.jpg,nm0001661,27,,./img_persons_tmdb/img_png/img_3026.png
Joel Schumacher,TRUE,5572,Joel Schumacher,"Joel T. Schumacher , Джоель Шумахер",1939-08-29,2020-06-22,"New York City, New York, USA",Homme,Directing,"Joel T. Schumacher (August 29, 1939 – June 22, 2020) was an American film director, screenwriter, producer, and costume designer. He was raised in New York City by his mother and suffered from substance abuse at a young age. He became a fashion designer after graduating from Parsons School of Design, but would continue suffering from substance abuse and high levels of debt until the early 1970s. He first entered film-making as a production and costume designer before gaining writing credits on Car Wash, Sparkle, and The Wiz.

He received little attention for his initial theatrically released films, The Incredible Shrinking Woman and D.C. Cab, but rose to prominence after directing St. Elmo's Fire (1985), The Lost Boys (1987), and The Client (1994). Schumacher was selected to replace Tim Burton as director of the Batman franchise and oversaw Batman Foreve (1995) and Batman & Robin (1997). After the Batman franchise Schumacher directed smaller-budgeted films, including Tigerland (2000) and Phone Booth (2002). He directed The Phantom of the Opera, which was released to mixed reviews in 2004. His final directorial work was for two episodes of House of Cards (2013).",1.8901,https://image.tmdb.org/t/p/w500/ttXniaNjekrOBjLQpZqTv89AakA.jpg,nm0001708,26,,./img_persons_tmdb/img_png/img_5572.png
Chantal Akerman,TRUE,130030,Chantal Akerman,"Chantal Anne Akerman, Chantal Ackerman, 샹탈 아커만, 샹탈 아케르만, 샹탈 애커만",1950-06-06,2015-10-05,"Brussels, Belgium",Femme,Directing,"Chantal Anne Akerman (June 6, 1950 – October 5, 2015) was a Belgian film director, artist and professor of film at the City College of New York. Her best-known film is Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles (1975).

Despite being categorised as such by others, Akerman frequently distanced herself from the feminist label, explaining, ""when people say there is a feminist film language, it is like saying there is only one way for women to express themselves"". Instead, Akerman acknowledged that her cinematic approach took inspiration from the writings of Gilles Deleuze and Felix Guattari, as well as from filmmakers Michael Snow and Jean-Luc Godard.

Many directors have cited Akerman's directorial style as an influence on their work. Kelly Reichardt, Gus Van Sant, and Sofia Coppola have noted their exploration of filming in real time as a tribute to Akerman.",1.1441,https://image.tmdb.org/t/p/w500/6Q59Air1EjLHfq8NvvBpbTTgnWZ.jpg,nm0001901,61,,./img_persons_tmdb/img_png/img_130030.png
Ben Palmer,TRUE,1218992,Ben Palmer,NA,1977-01-01,NA,England,Homme,Directing,"Ben Palmer is an award winning British director who is made his name in television with comedy programmes such as Bo' Selecta, Star Stories and The Inbetweeners. In 2011, Palmer was chosen to direct the big screen spin off of the latter, the hugely successful The Inbetweeners Movie, and in 2015 he subsequently followed this cinematic success up with the Simon Pegg/Lake Bell romcom Man Up.  In 2017 he directed the Mitchell and Webb sitcom Back as well as several episodes of the Sky Arts series Urban Myths, including the highly controversial unbroadcastable episode Elizabeth, Michael and Marlon which cast Joseph Fiennes as Michael Jackson.",0.9031,https://image.tmdb.org/t/p/w500/amHZxuDKfrCNHUR6uVomq7JafXk.jpg,nm1414582,7,,./img_persons_tmdb/img_png/img_1218992.png
Brianna Russell,TRUE,4279822,Brianna Russell,NA,NA,NA,NA,Femme,Directing,"Brianna Russell is a screenwriter and director based out of Clarke’s Beach, Newfoundland. Her work focuses on queerness in media, genre filmmaking, as well as the history and folklore of her childhood home. Brianna’s films have premiered at national and international film festivals, including the St. John’s International Women’s Film Festival. She was a quarterfinalist in the Outstanding Screenplay Competition for her feature film script POSTER CHILD, and her short of the same name premiered at the Closing Night Gala of SJIWFF, ahead of Fawzia Mirza’s THE QUEEN OF MY DREAMS. Brianna is the 2022 recipient of the RBC Michelle Jackson Emerging Filmmaker Award, an alumni of the WIDC Career Advancement Module, and a participant in the 2024 Whistler Film Festival Screenwriters Lab. She is a current resident of the Canadian Film Centre's Norman Jewison Screenwriters Lab.",0.4972,NA,nm13205794,6,,NA
Luchino Visconti,TRUE,15127,Luchino Visconti,"Luchino Visconti di Modrone, 루키노 비스콘티",1906-11-02,1976-03-17,"Milan, Lombardy, Italy",Homme,Directing,"Luchino Visconti di Modrone, Count of Lonate Pozzolo (2 November 1906 - 17 March 1976) was an Italian theatre, opera and cinema director, as well as a screenwriter. He is best known for his films The Leopard (1963) and Death in Venice (1971).",1.2934,https://image.tmdb.org/t/p/w500/g5jT360l0LlvT9WT2UkHnQo2DhE.jpg,nm0899581,21,,./img_persons_tmdb/img_png/img_15127.png
Mario Monicelli,TRUE,32375,Mario Monicelli,Марио Моничелли,1915-05-16,2010-11-29,"Rome, Italy",Homme,Directing,"Mario Monicelli (May 16, 1915 – November 29, 2010) was an Italian director and screenwriter and one of the masters of the Commedia all'Italiana (Comedy Italian style).

Description above from the Wikipedia article Mario Monicelli,licensed under CC-BY-SA, full list of contributors on Wikipedia.",0.892,https://image.tmdb.org/t/p/w500/rNa6Y3aCqQ0rVnQpr1JUfyPNPUV.jpg,nm0598102,61,,./img_persons_tmdb/img_png/img_32375.png
