titres.p,geos.clean.lat,geos.clean.long,imgs.p,liens_url,lat.wgs84,lon.wgs84,liens_url_titre,liens_img,views,num_vueswiki
Lac de Saint-Point,46° 48′ 55″ N, 6° 18′ 50″ E,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Lac_de_Saint-Point_Printemps.JPG/280px-Lac_de_Saint-Point_Printemps.JPG,http://fr.wikipedia.org/wiki/Lac_de_Saint-Point,46.8152777777778,6.31388888888889,Lac_de_Saint-Point,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Lac_de_Saint-Point_Printemps.JPG/280px-Lac_de_Saint-Point_Printemps.JPG,40669,24
Barrage de Bort-les-Orgues,45° 24′ 48″ N, 2° 29′ 51″ E,//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Dam_of_Bort-les-Orgues_downstream.jpg/280px-Dam_of_Bort-les-Orgues_downstream.jpg,http://fr.wikipedia.org/wiki/Barrage_de_Bort-les-Orgues,45.4133333333333,2.4975,Barrage_de_Bort-les-Orgues,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Dam_of_Bort-les-Orgues_downstream.jpg/280px-Dam_of_Bort-les-Orgues_downstream.jpg,40584,25
Lac des Settons,47° 10′ 56″ N, 4° 03′ 52″ E,//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Lac_des_settons_-_barrage_06.jpg/280px-Lac_des_settons_-_barrage_06.jpg,http://fr.wikipedia.org/wiki/Lac_des_Settons,47.1822222222222,4.06444444444444,Lac_des_Settons,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Lac_des_settons_-_barrage_06.jpg/280px-Lac_des_settons_-_barrage_06.jpg,39374,26
Lac de Pareloup,44° 12′ 19″ N, 2° 45′ 26″ E,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Vierge2.jpg/280px-Vierge2.jpg,http://fr.wikipedia.org/wiki/Lac_de_Pareloup,44.2052777777778,2.75722222222222,Lac_de_Pareloup,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Vierge2.jpg/280px-Vierge2.jpg,37421,27
Étang de Cazaux et de Sanguinet,44° 29′ 15″ N, 1° 09′ 48″ O,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Lac-de-Cazaux.jpg/280px-Lac-de-Cazaux.jpg,http://fr.wikipedia.org/wiki/Étang_de_Cazaux_et_de_Sanguinet,44.4875,-1.16333333333333,Étang_de_Cazaux_et_de_Sanguinet,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Lac-de-Cazaux.jpg/280px-Lac-de-Cazaux.jpg,35456,28
Gour de Tazenat,45° 58′ 48″ N, 2° 59′ 28″ E,//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Gour_de_Tazenat.JPG/280px-Gour_de_Tazenat.JPG,http://fr.wikipedia.org/wiki/Gour_de_Tazenat,45.98,2.99111111111111,Gour_de_Tazenat,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Gour_de_Tazenat.JPG/280px-Gour_de_Tazenat.JPG,33874,29
Lac de Madine,48° 55′ N, 5° 44′ E,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Lac_de_Madine8.JPG/280px-Lac_de_Madine8.JPG,http://fr.wikipedia.org/wiki/Lac_de_Madine,48.9166666666667,5.73333333333333,Lac_de_Madine,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Lac_de_Madine8.JPG/280px-Lac_de_Madine8.JPG,33654,30
Barrage de Bimont,43° 32′ 26″ N, 5° 32′ 12″ E,//upload.wikimedia.org/wikipedia/commons/thumb/5/57/Barrage_de_Bimont.jpg/280px-Barrage_de_Bimont.jpg,http://fr.wikipedia.org/wiki/Barrage_de_Bimont,43.5405555555556,5.53666666666667,Barrage_de_Bimont,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Barrage_de_Bimont.jpg/280px-Barrage_de_Bimont.jpg,30971,31
Lac de Chalain,46° 40′ 15″ N, 5° 47′ 29″ E,//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Vue_sur_le_Lac_de_Chalain_depuis_le_belv%C3%A9d%C3%A8re_de_Fontenu_02.jpg/280px-Vue_sur_le_Lac_de_Chalain_depuis_le_belv%C3%A9d%C3%A8re_de_Fontenu_02.jpg,http://fr.wikipedia.org/wiki/Lac_de_Chalain,46.6708333333333,5.79138888888889,Lac_de_Chalain,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Vue_sur_le_Lac_de_Chalain_depuis_le_belv%C3%A9d%C3%A8re_de_Fontenu_02.jpg/280px-Vue_sur_le_Lac_de_Chalain_depuis_le_belv%C3%A9d%C3%A8re_de_Fontenu_02.jpg,29246,32
Lac de Pannecière,47° 09′ 15″ N, 3° 53′ 44″ E,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Morvan_Lac_Panneciere1.jpg/280px-Morvan_Lac_Panneciere1.jpg,http://fr.wikipedia.org/wiki/Lac_de_Pannecière,47.1541666666667,3.89555555555556,Lac_de_Pannecière,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Morvan_Lac_Panneciere1.jpg/280px-Morvan_Lac_Panneciere1.jpg,28862,33
Lac du Chambon,45° 02′ 31″ N, 6° 08′ 53″ E,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Lac-du-chambon.jpg/280px-Lac-du-chambon.jpg,http://fr.wikipedia.org/wiki/Lac_du_Chambon,45.0419444444444,6.14805555555556,Lac_du_Chambon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Lac-du-chambon.jpg/280px-Lac-du-chambon.jpg,28764,34
Lac Daumesnil,48° 49′ 50″ N, 2° 24′ 56″ E,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/LacDaumesnil1.JPG/250px-LacDaumesnil1.JPG,http://fr.wikipedia.org/wiki/Lac_Daumesnil,48.8305555555556,2.41555555555556,Lac_Daumesnil,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/LacDaumesnil1.JPG/250px-LacDaumesnil1.JPG,27578,35
Lac Chambon,45° 34′ 13″ N, 2° 55′ 18″ E,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Lac_Chambon.jpg/280px-Lac_Chambon.jpg,http://fr.wikipedia.org/wiki/Lac_Chambon,45.5702777777778,2.92166666666667,Lac_Chambon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Lac_Chambon.jpg/280px-Lac_Chambon.jpg,26629,36
Lac de Monteynard-Avignonet,44° 57′ 40″ N, 5° 41′ 18″ E,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Lac_de_Monteynard_2.jpg/280px-Lac_de_Monteynard_2.jpg,http://fr.wikipedia.org/wiki/Lac_de_Monteynard-Avignonet,44.9611111111111,5.68833333333333,Lac_de_Monteynard-Avignonet,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Lac_de_Monteynard_2.jpg/280px-Lac_de_Monteynard_2.jpg,25245,37
Lac Kir,47° 19′ 39″ N, 4° 59′ 51″ E,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Lac_Kir_rive_sud.jpg/280px-Lac_Kir_rive_sud.jpg,http://fr.wikipedia.org/wiki/Lac_Kir,47.3275,4.9975,Lac_Kir,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Lac_Kir_rive_sud.jpg/280px-Lac_Kir_rive_sud.jpg,24507,38
Étang de Biscarrosse et de Parentis,44° 21′ N, 1° 10′ O,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Berge_du_lac_de_Parentis.JPG/280px-Berge_du_lac_de_Parentis.JPG,http://fr.wikipedia.org/wiki/Étang_de_Biscarrosse_et_de_Parentis,44.35,-1.16666666666667,Étang_de_Biscarrosse_et_de_Parentis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Berge_du_lac_de_Parentis.JPG/280px-Berge_du_lac_de_Parentis.JPG,24218,39
Lac d'Esparron,43° 44′ N, 5° 58′ E,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Barrage_esparon_2.jpg/280px-Barrage_esparon_2.jpg,http://fr.wikipedia.org/wiki/Lac_d'Esparron,43.7333333333333,5.96666666666667,Lac_d'Esparron,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Barrage_esparon_2.jpg/280px-Barrage_esparon_2.jpg,23306,40
Lac des Bouillouses,42° 34′ 13″ N, 1° 59′ 58″ E,//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Bollosa_%28capcir%29.jpg/280px-Bollosa_%28capcir%29.jpg,http://fr.wikipedia.org/wiki/Lac_des_Bouillouses,42.5702777777778,1.99944444444444,Lac_des_Bouillouses,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Bollosa_%28capcir%29.jpg/280px-Bollosa_%28capcir%29.jpg,22314,41
Lac de Gaube,42° 49′ 52″ N, 0° 08′ 23″ O,//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Lago_de_Gaube.JPG/280px-Lago_de_Gaube.JPG,http://fr.wikipedia.org/wiki/Lac_de_Gaube,42.8311111111111,-0.139722222222222,Lac_de_Gaube,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Lago_de_Gaube.JPG/280px-Lago_de_Gaube.JPG,22158,42
Lac du Mont-Cenis,45° 14′ 16″ N, 6° 56′ 03″ E,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Le_Lac_du_Mont_Cenis.jpg/280px-Le_Lac_du_Mont_Cenis.jpg,http://fr.wikipedia.org/wiki/Lac_du_Mont-Cenis,45.2377777777778,6.93416666666667,Lac_du_Mont-Cenis,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Le_Lac_du_Mont_Cenis.jpg/280px-Le_Lac_du_Mont_Cenis.jpg,21416,43
Lac d'Allos,44° 14′ 00″ N, 6° 42′ 30″ E,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Lac_dAllos_2.jpg/250px-Lac_dAllos_2.jpg,http://fr.wikipedia.org/wiki/Lac_d'Allos,44.2333333333333,6.70833333333333,Lac_d'Allos,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Lac_dAllos_2.jpg/250px-Lac_dAllos_2.jpg,20490,44
Barrage de Castillon,43° 52′ 42″ N, 6° 32′ 14″ E,//upload.wikimedia.org/wikipedia/commons/thumb/5/57/Le_barrage_de_Castillon-D%C3%A9mandolx.jpg/280px-Le_barrage_de_Castillon-D%C3%A9mandolx.jpg,http://fr.wikipedia.org/wiki/Barrage_de_Castillon,43.8783333333333,6.53722222222222,Barrage_de_Castillon,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Le_barrage_de_Castillon-D%C3%A9mandolx.jpg/280px-Le_barrage_de_Castillon-D%C3%A9mandolx.jpg,20177,45
Lac de Nino,42° 15′ 20″ N, 8° 56′ 25″ E,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Lac_de_Nino.jpg/280px-Lac_de_Nino.jpg,http://fr.wikipedia.org/wiki/Lac_de_Nino,42.2555555555556,8.94027777777778,Lac_de_Nino,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Lac_de_Nino.jpg/280px-Lac_de_Nino.jpg,19568,46
Lac du Bouchet,44° 54′ 32″ N, 3° 47′ 24″ E,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Lac_du_Bouchet.jpg/250px-Lac_du_Bouchet.jpg,http://fr.wikipedia.org/wiki/Lac_du_Bouchet,44.9088888888889,3.79,Lac_du_Bouchet,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Lac_du_Bouchet.jpg/250px-Lac_du_Bouchet.jpg,19477,47
Lac d'Enghien,48° 58′ 15″ N, 2° 18′ 00″ E,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Vue_a%C3%A9rienne_d%27Enghien-les-Bains_et_de_son_lac.jpg/280px-Vue_a%C3%A9rienne_d%27Enghien-les-Bains_et_de_son_lac.jpg,http://fr.wikipedia.org/wiki/Lac_d'Enghien,48.9708333333334,2.3,Lac_d'Enghien,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Vue_a%C3%A9rienne_d%27Enghien-les-Bains_et_de_son_lac.jpg/280px-Vue_a%C3%A9rienne_d%27Enghien-les-Bains_et_de_son_lac.jpg,19403,48
Lac d'Aydat,45° 39′ 50″ N, 2° 59′ 04″ E,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Lac_Aydat_2001-06-23.jpg/250px-Lac_Aydat_2001-06-23.jpg,http://fr.wikipedia.org/wiki/Lac_d'Aydat,45.6638888888889,2.98444444444444,Lac_d'Aydat,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Lac_Aydat_2001-06-23.jpg/250px-Lac_Aydat_2001-06-23.jpg,19129,49
Lac de Nantua,46° 10′ N, 5° 35′ E,//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Lac_de_Nantua_et_Nantua_%28Ain%29.JPG/280px-Lac_de_Nantua_et_Nantua_%28Ain%29.JPG,http://fr.wikipedia.org/wiki/Lac_de_Nantua,46.1666666666667,5.58333333333333,Lac_de_Nantua,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Lac_de_Nantua_et_Nantua_%28Ain%29.JPG/280px-Lac_de_Nantua_et_Nantua_%28Ain%29.JPG,18913,50
Lac Noir,48° 06′ 45″ N, 7° 05′ 50″ E,//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Lac_noir_alsace.jpg/280px-Lac_noir_alsace.jpg,http://fr.wikipedia.org/wiki/Lac_Noir_(Vosges),48.1125,7.09722222222222,Lac_Noir_(Vosges),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Lac_noir_alsace.jpg/280px-Lac_noir_alsace.jpg,18905,51
Lac Vert,45° 57′ 00″ N, 6° 45′ 11″ E,//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Lac_vert_de_passy_%281%29.JPG/250px-Lac_vert_de_passy_%281%29.JPG,http://fr.wikipedia.org/wiki/Lac_Vert_(Passy),45.95,6.75305555555556,Lac_Vert_(Passy),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Lac_vert_de_passy_%281%29.JPG/250px-Lac_vert_de_passy_%281%29.JPG,18714,52
Lac de Servières,45° 38′ 46″ N, 2° 51′ 31″ E,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Lac_de_servieres.JPG/280px-Lac_de_servieres.JPG,http://fr.wikipedia.org/wiki/Lac_de_Servières,45.6461111111111,2.85861111111111,Lac_de_Servières,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Lac_de_servieres.JPG/280px-Lac_de_servieres.JPG,17805,53
Lac d'Issarlès,44° 49′ 15″ N, 4° 04′ 20″ E,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Lac_issarl%C3%A8s_2006_06_14.JPG/280px-Lac_issarl%C3%A8s_2006_06_14.JPG,http://fr.wikipedia.org/wiki/Lac_d'Issarlès,44.8208333333333,4.07222222222222,Lac_d'Issarlès,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Lac_issarl%C3%A8s_2006_06_14.JPG/280px-Lac_issarl%C3%A8s_2006_06_14.JPG,17313,54
