df_goopldet.place_id,df_goopldet.adresse,df_goopldet.nom,df_goopldet.telephone,df_goopldet.url,df_goopldet.types,df_goopldet.type.princ,df_goopldet.note_globale,df_goopldet.nb_notes,df_goopldet.moy_anciennete_avis,df_goopldet.med_anciennete_avis,df_goopldet.nb_notes.s,df_goopldet.type.princ.fr,df_goopl.id,df_goopl.reference,INSEE_COM,df_goopl.lng,df_goopl.lat,df_goopldet.moy_anciennete_avis.rang
ChIJ__-rpmBt5kcRbkEx3NLtCMs,"34 Boulevard Chanzy, 93100 Montreuil, France",Boucherie Alimentation azdal oriental,+33 9 50 52 84 75,https://maps.google.com/?cid=14630204879406186862,"c(""grocery_or_supermarket"", ""store"", ""food"", ""point_of_interest"", ""establishment"")",grocery_or_supermarket,5,2,86,86,1_4,épicerie,305fa7398471bee554edf9942ed02c406bbb5f7c,CmRSAAAAiRizFI3tJ_baxJ68LARastXeDtTc1zE-fKrLms13FFkCbjezzBoOOk0_Y4DCdzK4kBhhtekYdvlBKTiY0o6K4x4lRq_UF2EZsXmCJGqmTBVrWFi_NojM67i5kqmsHLkPEhDN795yfKK3W4-hAMYdSyxxGhR-pAC-gJEcCKTjWs9l7hDSuGjWHw,93048,2.4343329,48.8584781,
ChIJ__-vP2Ft5kcRiNtVr76EbG8,"102 Rue Etienne Marcel, 93100 Montreuil, France",Kaliconseils,+33 1 55 86 17 56,https://maps.google.com/?cid=8028938190215043976,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,49b3066c101529a88d7c176a0b7887c64af6026f,CmRRAAAAb057Brjhu-Xsj7ulJygWX6oHYxTL2555yX13yWjJzbHY-Y9EOfUzGZ5DrPhlNQfSJ1SqVIVFpq8ra5bIui03G0OAZUHar3hX8oqGyDISfzmv5f8MfTtrwOJj1ILP5AIOEhAIeipxgeMAuc01snprgmnCGhQNkX1bQXXL8CXL58atViOcfRlKWA,93048,2.4305597,48.8583412,
ChIJ__-vP2Ft5kcRUmfW5N4qeYI,"102 Rue Etienne Marcel, 93100 Montreuil, France",Autodidact,+33 1 55 86 17 10,https://maps.google.com/?cid=9401592833922983762,"c(""point_of_interest"", ""establishment"")",establishment,3.7,3,220.333333333333,278,1_4,établissement,3de09d55d634a9c447685ed91283752cb00833fb,CmRSAAAAkM_h2uMxXx8LLr3lY-UaAn8a-cZAwG394hno-NiCUp3oaBsHqLUY3TAVhjw18rV0UuDuFnYRRtQAaJM2loRedY2MfgdZ8k56xbUmkIOnj0eXpgQ5JF7pnTtZYsqypJgyEhDORnmhXj__OaLTDEp9vvhJGhSa_6qs3uHQ-K7rRQEhXe-aqlxZKw,93048,2.43056,48.858341,
ChIJ__3ARFtt5kcRl5tfVvSXimk,"14 Rue du 18 Août, 93100 Montreuil, France",Urban Distribution,+33 1 48 70 46 56,https://maps.google.com/?cid=7605057996445424535,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,f3cb2413c125a4c5bc365800038e5b6b63a221ea,CmRRAAAANsjvbY8lWx5tOFJxNGW1pNnslI7qZTWPOl0k_zdpSJtdNP_Ry_tcl5zuKFqshhdptrsdsA0wpl14YCePkQ72clykuHGbxHDCZaLoSki-Xv8p2vTD136tSa3Ts36MDUXDEhAkEYXH2ilsrKb1Ig-mkcQSGhSfNsYetsWE84IC6YX_IMeiVgKB4g,93048,2.4415006,48.8634308,
ChIJ__8_DGlt5kcR34zFH_ywfEs,"17 Place du Général de Gaulle, 93100 Montreuil, France",NETTOYAGE ET JARDINAGE DE FRANCE NJF,+33 1 83 77 75 32,https://maps.google.com/?cid=5439417046868004063,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,fa43dfe2ccbeaea6be165eb6977dfb80f6f949c0,CmRRAAAACb-hoQIAxKdPhzSZozl-8DxMdLFI2YIBEcnVvK8AbgOdTNWjEqCdsAbnapFb0fjv62XnUX64qynOt1k5fdUOe8n90hvlNCHYT0nLqdH_l4wWHEU64VnsuVtm6vfJvh7pEhBGE4w9CyYBPGl8xjlm7xCnGhTVSq9tCwyaHgXq4Vhkqr_W_xRuSQ,93048,2.4322254,48.8680227,
ChIJ__8_DGlt5kcRaGZuRZvPgmk,"17 Place du Général de Gaulle, 93100 Montreuil, France",Duhamel assistance,+33 1 55 86 26 26,https://maps.google.com/?cid=7602867386746562152,"c(""plumber"", ""electrician"", ""locksmith"", ""home_goods_store"", ""store"", ""point_of_interest"", ""establishment"")",plumber,5,1,128,128,1_4,plombier,17749cb4cf50069827ac2100e68e5081bccbaace,CmRRAAAACg87FDfVNsOjNcKgcP4EdNdn3CpooM78q93hN062eJjA6T-kAcrH8n5HXHfZnBB58_MxkE7Fn9nh-dp5OkXfj_TMRdHZUA9s4LkehwRjQQ8qC-f6-YwhrzYzapUgj91REhCLPsBf1TCwTkG9-iIcByZkGhTD9Z4e70szT8HRzBzirq7KRK0rsw,93048,2.4322254,48.8680227,
ChIJ__8_DGlt5kcRJJ6GDFJi834,"17 Place du Général de Gaulle, 93100 Montreuil, France",EPRM 👑💒,NULL,https://maps.google.com/?cid=9147763372656598564,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,fb0979ad3c337a7017f5af401655d4ca4a0338b0,CmRRAAAASsowmkiE4xd5v2S7V8HijDPu0s8ZoAoMAd_2679tsKaU63WPeDQX-GhogbdUNjjltkMa3AX4xZvHr2BE9dm3PcnOgbOMN9MHwnW1dHuFbqCLro1pfLwpzFxS-dHBEgJAEhCht_xQ6uwlyA1ktGQ2h2R-GhRxm6tQ2bceN9HxW8u_XFLoHGLylw,93048,2.4322254,48.8680227,
ChIJ__8_DGlt5kcRY2DLDI5xtks,"17 Place du Général de Gaulle, 93100 Montreuil, France",CofiCompta,+33 1 48 38 33 52,https://maps.google.com/?cid=5455672853519884387,"c(""accounting"", ""finance"", ""point_of_interest"", ""establishment"")",accounting,,0,,,0,comptabilité,318003118294c4a0ad8fd77aa1975d2a991e55b3,CmRRAAAAwAH34oLX0pUwpynwJmkEEHiJtkwIl8x2N0aEQMdRgP_2fnnlwCsWDAs4wyKrI8mdckE4Vh8zer4G8JSd1NJoSQDBIPy-PBsMaQ5CfyHpncHBZ82HLg22wcV913KENHyYEhCVyyJirRBvGfpTnUbxN954GhTExyDy-Sa-4frd7X5tcyRE4gdcgA,93048,2.4322254,48.8680227,
ChIJ__8DLkBt5kcR3wS7WC4itw4,"30 Avenue Ferdinand Buisson, 93100 Montreuil, France",renault montreuil meca service | garage renault,+33 1 85 53 02 87,https://maps.google.com/?cid=1060353819721532639,"c(""car_repair"", ""point_of_interest"", ""establishment"")",car_repair,,0,,,0,réparation de voiture,b144d2cc2477607a1104ccfcb5d56ac1acb9ca27,CmRRAAAAtlYqxjVGDabjv-atGejPIWYVMzw9XOeLCc2bBnCGlLRlNPTj7rJICTfPJRtBlrQvKvf2RIMf43dYV3bf1ScClNynH68PUKD9nau8cUIZVNazE8xBXC9tz5An_ki3OgNpEhBrbQDBSDNchJ8PzfeQyDdkGhRUSraxMLYRYNPYExEgVc1ifLbydw,93048,2.4365299,48.8722795,
ChIJ__8zNX1t5kcRnt18GPLn5QY,"184 Rue de Paris, 93100 Montreuil, France",MoneyGram,+33 1 41 58 62 10,https://maps.google.com/?cid=497058360873246110,"c(""finance"", ""point_of_interest"", ""establishment"")",finance,,0,,,0,finances,4c718ee072f3057dad56620d6bdba3fce39a57ad,CmRRAAAA0MJc8hOCCGcRfQi-gyvWxQ1fVkDxd5tAP67g5E0ZZxeDyC9A_h99AzUa4q42gRWvixAH-Rdsr3vI55YftujyL4_c_22Xn3r4ejHAHeVCkvu1xMx9-TfYuAup8PG4m99vEhD4H-7pEBPTBDD3E-rtMYXhGhSfD9oxn48lAOh0HYn68Z25_xDu-g,93048,2.4231641,48.8559595,
ChIJ__9D6KFy5kcRrZ-Tbk_aOVo,"92 Rue de Montreuil, 94300 Vincennes, France",ZARA BEAUTY,+33 9 81 44 47 27,https://maps.google.com/?cid=6501467571778461613,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,30c8b89210afd6d5fd477857cd2ffe54733d6b96,CmRRAAAAWWDG8lwlRq_hPj_gZIaAMeWUckLEa6_64qO3mpjyqc5P9AbQdIj0H5k_vvbq2DXF0Reul-QwuYiPO_MkOH-C-a-rbIUnhZqlwNsxA8pH6Sy9c246vETPr3EACb5n_bIZEhBcrojDTVBBVMsIfEl-VDz4GhTxjNsVKbhUGTFYcTOayfLCuTqKuQ,93048,2.4347907,48.850484,
ChIJ__9kPldt5kcRZh6rwkf0YDs,"72 Rue Gaston Lauriau, 93100 Montreuil, France","Le Café Gabriel "" Notre plaisir le fait maison ! """,+33 1 48 70 09 47,https://maps.google.com/?cid=4278688235047820902,"c(""restaurant"", ""night_club"", ""bar"", ""food"", ""point_of_interest"", ""establishment"")",restaurant,4.2,5,120,116,5,restaurant,2c831004f8dba895542ed6bfbb243fce1ac0a3b6,CmRRAAAA9uRVmFDDQ9D17EHDkVAIeUIslDFOUQKjnrt3tQHAcafO_Sf-yxoPtBli-jg_Scor_f5c6bZkQsihEueh0uWehAsDXRSq4jAyA6488nKqkJKHIMheIp0QCCdieCRtLD3IEhBnZ5-wWMtldcDYh1WLwjFsGhTPFZvWqU0ntXYjW4CgeF-QbfQXmg,93048,2.4475907,48.8579916,252
ChIJ__9PpJ1y5kcRuZUHeJJVwOM,"65 Rue Marceau, 93100 Montreuil, France",Happy Marceau,+33 9 52 76 85 16,https://maps.google.com/?cid=16411211129705436601,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",restaurant,5,3,11,13,1_4,restaurant,738ad9d287cb43488589486d1ab3fd39ff26fc69,CmRSAAAAvtlQR9_vMOYcXli-y6h9o7S6DbKsrHye24nxd3i_5A-EWVyyHmlBL_8wgtpIHtADB27MxTqwCbNRe4FaXismbMWkdUkDdT59btcWvf4jWNyfG1z32hhfno4fPRKxzWa6EhB3iovY9nuv07BuQuTs4ZYbGhT9bYL4Jw7wz_o-xl2G1tihGCCdSA,93048,2.4262186,48.8528471,
ChIJ__9r655y5kcRhE5tmXBCO5Y,"55 Rue des Meuniers, 94300 Vincennes, France",IITIC,+33 9 51 64 32 80,https://maps.google.com/?cid=10825319180692967044,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,7b68894c1848a1385aed10c5ca933f18ef36d838,CmRSAAAACC84-kCmgR7OA5Gc9NxeWX8SqJoBSsPTIb7vGlan7PqJyBxRPlJuu8zxP5ek-03lCyyE8zyxssd44fLiOmMZh187XpxM1d8K7Aicrg_HfnUJ7Uj9xzeE-DtAds3qzM-7EhB6_TiXLj728cELXUw_JOFRGhTZSf-q1SJLNQZGxDlaH_eRzJMpuw,93048,2.4299038,48.8509408,
ChIJ__9TucsS5kcRlVXViWYCQuI,"187 Boulevard de la Boissière, 93100 Montreuil, France",Boucherie Chez Naji,NULL,https://maps.google.com/?cid=16303596240456996245,"c(""store"", ""food"", ""point_of_interest"", ""establishment"")",store,,0,,,0,magasin,ad711d336b9c87d655277b7a00e4d484468c17ae,CmRSAAAAsBrar_AXNElUBi05Ew8puAq5cUxKLFTfgc9Rp4kC64WPtq7ouiDp7k87ku-pfDvtMJLH5JpSIwUWWpeqfRfjUSX3hnB522wnNhMnq5encoVB8nAbXrkHc6PE09U297p_EhDWgzTBGfFis005_MLOtV1bGhSyg3R-fLjew0LrA3q6TEJXpTnuCA,93048,2.462728,48.8773508,
ChIJ__9vTnxt5kcR2mhDzhKD8CM,"60 Rue Victor Hugo, 93170 Bagnolet, France",Chez Chloé,+33 6 43 70 30 11,https://maps.google.com/?cid=2589713902531209434,"c(""lodging"", ""point_of_interest"", ""establishment"")",lodging,,0,,,0,hébergement,0ba919860c5453ecf7bf5f574db7956907fd900b,CmRRAAAAxKavNT4dG47zaG3HQYxerLVgblbLV4VAVK48N_nNIMAlmvRQDl864Xtc4c8JeLEkIxcye9ThPctg247GUN-SCCsvS9ZqXjefgVPGpNjeP7ztXFwH2au-6qL6leyPHIi4EhBbOGvGFFU0bLyCyViOElftGhSdMduRyD62kdroiqx6gFQ-MZHcsQ,93048,2.4196711,48.857547,
ChIJ__r2TrsS5kcREfZcVE3zOME,"4 Rue Yves Farge, 93100 Montreuil, France",Roulé Boulé,+33 6 77 35 24 61,https://maps.google.com/?cid=13923145761469298193,"c(""point_of_interest"", ""establishment"")",establishment,5,1,301,301,1_4,établissement,4c78aef54c89b76faaed4b074ac12d4dab867ecb,CmRSAAAA4VSU5T-BmP7m_2hLPtVtyEltvJK11PmNfFJT9gJaWUHacCqWrJBkKEuCUx5ZsoCkOo4Tik6qfJOeCVDaZ3OcA99SHAM4dSDSVEmN6OCsbneOcR3QxmgWKbGEP-xoS1yiEhA9xPQa5ECosrXo4rHU-7eWGhQT-BqUOonVuJpyb5xV87Vcp9Lw8Q,93048,2.4736899,48.864023,
ChIJ__WhnE1t5kcRW-zAL920XjE,"10 Rue de Saint-Antoine, 93100 Montreuil, France",Mom,+33 1 40 09 14 41,https://maps.google.com/?cid=3557479617751215195,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,86469e3f8ece7fb33b0cc98a30ceef848abd9405,CmRRAAAAWBvfbbTKLws3OLBU88yxo8RA_faXgDsUTYV0jN5QF3HxF5zbu81bi2UWA807Y8_5t2P-kRrKxJQ03i9UaIKQ1jd87FxbopXc5DD1e4jzYkV8pEnEyRXVrYi691g6BBAmEhB7yM5RVo8DGALY0x21WzacGhQkzGlwMVjzjRVMzb5JipH9yRUGog,93048,2.4545867,48.8647137,
ChIJ_-VHzUFt5kcRWNcgbo2Uerc,"6 Bis Rue des Groseilliers, 93100 Montreuil, France",Porcher Dominique,+33 1 48 57 29 75,https://maps.google.com/?cid=13221042991258457944,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,5dae4c46958242ccf62acc6b41482669b30daa72,CmRSAAAAL1fWmJ9q6ycYezLjFMm_IznZ2voy7Bvivk3CXK_7hg1Lf3LQ8u5D_JnzZYbSupXgMroNh1TJsvjiogs8o5oqdOrd-b20upgntnHiqPVHkF1nhZ-XrmqPbs_rmVWLNyYbEhBbUYBVqQazKsuGn0SGnP43GhTSQwMwKG5NAIXk_mQ97EASIFlLtw,93048,2.4380662,48.8713323,
ChIJ_-x3311t5kcRlo0mn2Zj7bk,"19 Avenue de la Résistance, 93100 Montreuil, France",NYX Professional Makeup Monoprix Montreuil,+33 1 41 72 05 80,https://maps.google.com/?cid=13397473758905011606,"c(""store"", ""point_of_interest"", ""establishment"")",store,,0,,,0,magasin,3ca8a4d8fe86437637f1b43c108f6f5055fc6afd,CmRSAAAA1cnpM6eyxHv_lDQxH-BzXI-Nne3kQN0tSudOUhxJ728XlXRw3c0EGc_X_xCDxGPnP5DUJOt8aNpl0KRvtOocINxJPDkM_m1GOjWrV5vboIiuDROvnArL00UYankwWAJxEhApC_9pAnz5Wi3aeGQB_mepGhQ6o0OaQp4ch_ePevQ84esZsFOXXg,93048,2.4363311,48.8594028,
ChIJ_0cI-1pt5kcRBjxfoXlWo4o,"10 Avenue Walwein, 93100 Montreuil, France",restaurant japonais montreuil sushibar123,+33 1 43 62 57 02,https://maps.google.com/?cid=9989923478836296710,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",restaurant,4.5,5,81.4,59,5,restaurant,7442739a93fe1e58499a7fde10091928ce0c51bc,CmRSAAAATJnQ38vkzOaA20lZBrkml898ECrEdAP8Xv5u7NjIDxnGiUvaIG2aHq_0gIkazyTQXguHvTQPHZVsb8s9R5xBcTnPmTAWBMIm8pV95HV5doHJXaLlqagHvHs_31VfsGTFEhBDbqrdPys5RoJHgtrGSuHaGhQ1WSA3T2CvOIHyFCGJYBgo0fjy5Q,93048,2.4438465,48.86218,160
ChIJ_0eHdF1t5kcRCrbz2hjRTEk,"14 Rue de la Beaune, 93100 Montreuil, France",FAIR BOX,+33 1 43 60 11 50,https://maps.google.com/?cid=5281826367681574410,"c(""store"", ""point_of_interest"", ""establishment"")",store,,0,,,0,magasin,49f3216044cfdc3b06ac15f590a9b7d144aed483,CmRRAAAAy8-_6jh8fFMYlBiHv5WLubaLwEG-UFJKuDRTXlV8Prul9QYL8JQuoM1rKvK8t63N-eLshZpdGONU-qiEX3c57dbWUCO9UPKas5bld4hL2n6u4GGWBrF3LlVK0A7-dnNkEhDqtV55pZ2iw7bfEezmdRJmGhSwY2KBlgGc_YfDqNe_namCa3ht6g,93048,2.4362175,48.8621729,
ChIJ_0ErLVBt5kcRZgBT5JCvQ2A,"1 Rue Dombasle, 93100 Montreuil, France",Lycée Jaurès,NULL,https://maps.google.com/?cid=6936580887921492070,"c(""gym"", ""health"", ""point_of_interest"", ""establishment"")",gym,,0,,,0,salle de sport,65fb5d5daebc18cbd805153e068cdfe62a87fed4,CmRRAAAAbtdm5-5Psey6tQd35tzHVZRdScxf4e7JO4LUf5781FBtEcJ5QM6SuWzJsZKbH2J-mIzakZP0chxYUS_8YXMH9bIZqwjQ_5dx2zsnyXj6w42LFSZdHGN1c6RiTIQrZmwAEhCvq7RnzaW5SB1Wo5WN0X3NGhTrTCERKToVVb5Nz3nsKcYRDB0hSQ,93048,2.4491836,48.8636359,
ChIJ_2EPO33G3UcREJ_IY93QImM,"18 Place du Général de Gaulle, 93100 Montreuil, France",cadeaux d'affaires,+33 9 52 93 02 31,https://maps.google.com/?cid=7143501608243470096,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,791f9a0e3c5460a8e82d1ed4165a971e47fd6566,CmRRAAAA2v4YEMlI3q4PcMg8C2UQoocD1Ur9ADcxzT_DJrVarWYuBb-wApdk9Wwpoddx_2j6Vni6AUwTwSF6t_oIcz3hw0il5yXR0Gddh2EXh0fcsR33b7PiizOU4pPnhwSxfTNsEhAfff2qy6L-fvA1LKdrAsCLGhQ4mJ7ChzsziSq3rtBIe4DKGmW-Uw,93048,2.4334002,48.8690694,
ChIJ_2EPO33G3UcRK-VWT37S_Y8,"18 Place du Général de Gaulle, 93100 Montreuil, France",PLASTHERM SARL,+33 1 48 70 23 24,https://maps.google.com/?cid=10375680556470297899,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,e4333ca33da1b1461c0be299c0569883cb226646,CmRSAAAAvPXuKKsbsN0mE_-dTIT3GDloOFJKZjpJKAsHNRRrJtHy1Z7z9DvKpCV6lHs2GJNZhasUNSmvyPlVwYarQKJq4I691Hw73sMwD9mHmaNaFxHl93mjMM0kLq2EAYWPLuEWEhDkYxEbrQZIz1hWMLkYyRHIGhQ9kTHZd5wttCf1rc_8dnEBP-vQWQ,93048,2.4333764,48.869019,
ChIJ_2EPO33G3UcRPhBR579ddHo,"18 Place du Général de Gaulle, 93100 Montreuil, France",BORN Event,+33 9 52 93 02 31,https://maps.google.com/?cid=8823780648726630462,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,aea049db4ba95b75e15ff8e91ba23c4718ccff28,CmRRAAAAz1jH7KrrJQcEKY56nNgyvHCKazJoCcH85cpzsJYRYISCB2Y-dF7MgZOc3Q8Kn32xMqMk_Dp_eYcKPggigTFiSXcj4uyH4zxngbPFTpu_2vtI36H88jS77uKvK6VB0qt7EhADdhCTH3TuzkrsHe7g4Yi9GhQy6OYmS-o5qlwyiBCwa5pCYXnf0w,93048,2.4334002,48.8690694,
